content
"pake aplikasi kopi kenangan mempermudah order pick up cepet, belum lagi kupon cash back point nya sukses selalu yach"
Gak pernah kecewa sama kopkenn!!!
Murce kopi ny endul
"Semoga kopi kenangan buka di depok, biar gak jauh beli nya"
"Oke, mudah dipake tidak ada kendala"
"Mudah pakai, selalu di notif kalo ada promo.. Mantaplah"
Suka banget tapi servis n smile mohon di tingkatkan
Kopi enak bgt
"aplikasi membantu pecinta kopi yg ingin membeli kopi di store, ga perlu antri, tinggal duduk manis dirumah"
Kopinya enak.. Pas banget
Mantabbbbbb
Sangat memuaskan ❤️
"Selalu langganan beli kopi kenangan di store lippo cikarang,, 👍👍👍 Pelayanan nya bagus,, cepat,, staf nya semua ramah dan baikk banget .. 🤩🤩👍👍. Ga da tandingan nya memang rasa kopi kenangan, slalu juara😍😍"
Enak cepet bisa pick up jg
Kopiny rasany mantab
"Kopi favorite niii beda sama kopi2 yang lain rasanya mantulllll, banyakin promo sama vouchernya yah...hehehehe kopi kenangan selalu di hati😊"
buat ap di instal klo g bisa dipake...apl doglo pingin nya untung sendiri..
Ssngat baik.. Good luck produk Indonesia
Serba mantap dan nampol
Lebih mudah dr aplikasi Gak perlu antri lagi Best promo🤗🤗🤗
Good ! Kopi terFAVORIT ❤ gag ada dua
"Keren Mungkin kalau ada pembayaran COD, oke kali ya? Tapi mungkin krn ini cashless, jadi kudu topup dulu 😁."
Aturan promonya ga jelas. Hari kemaren dibilang walk in jam 4 sore sampe jam 8 malem eh sekarang bilangnya jam 10 sampe 2 siang which mean gue kesana katanya udah abis.
Maknyossss
Baristanya gercep 👍
"Enak, nyaman 👍"
sofar so good
puas
"Pelayanan selalu oke, rasa enak, kualitas juara.. banyak promo"
Sering² ya ngadain promonya 😉 Beli Cup ukuran LARGE bayar REGULER hihihiii
"Kopi nya mantul, promonya jg mantulll"
Mudah digunakan.Terimakasih🙏.
Kami sekeluarga uda addict kopken rasanya tiada dua
"Aplikasinya gampang digunain. Enak kalau punya apk kop kenangan, karena promonya banyak banget. Jadi worth it banget punya apk ini"
Rasa kopinya pas
"Kopinya enak, pelayananya ramah-ramah"
okeh
Tambahkan metode pembayaran menggunakan LinkAja
Semoga makin bagus
Banyakin lagi diskonan haha
mntap kopi y
"Hi kopi kenangan, semoga ditambah ya gerai2 yang di rest area tol. Pas ke luar kota, temen jalan ya kopi kenangan😊"
"Tempat nya nyaman, kopi nya cocok buat nongkrong """
"Keren si ini aplikasi gampang cara makenya, di prioritsin klo make apk ini apalagi fitur gratisan nya hhehee"
"Kopiny enak, pelayanan ny bagus, walau kadang"" Ad yg jutek.. 🤣🤣"
Sangat membantu sekali aplikasi nya dan sering2 ada promo nya
Bermanfaat banget buat penggemar kopi
Super ramah kakaknya2
"Khusus buat driver ojol,,,ini kopi kenangan jualan plastik seharga 500 segen amat nagih kepelanggan 500 rupiahhhhhhhhhh,,mau jualan plastik apa jualan minuman,mana prosesnya lama"
"Nice service @Kopi Kenangan SPBU Raya Pamularsi, SMG"
